tag,dataset,lang,n_pairs,gallery_size,n_galleries,mean_diag_cos,median_diag_cos,p10_diag_cos,p90_diag_cos,i2t_r@1,i2t_r@5,i2t_r@10,t2i_r@1,t2i_r@5,t2i_r@10,source_dir
mc2_e32,cgoe,jv,39747,10000,5,0.30637040734291077,0.3080748915672302,0.2873070538043976,0.3234281539916992,0.5671000003814697,0.8900400042533875,0.941699993610382,0.628659987449646,0.8887600064277649,0.9306200027465821,mc2_e32
mc2_e32,cgoe,ms,161397,10000,5,0.3042389154434204,0.3059116005897522,0.285169780254364,0.3213365375995636,0.7684200048446655,0.9387800097465515,0.9657399892807007,0.7601999998092651,0.9264600157737732,0.9567999958992004,mc2_e32
mc2_e32,cgoe,su,21238,10000,5,0.3075895607471466,0.30915266275405884,0.2884218692779541,0.32485517859458923,0.5813400030136109,0.9098999977111817,0.9526800036430358,0.5895599961280823,0.8923799991607666,0.9360200047492981,mc2_e32
mc2_e32,cgoe,th,58433,10000,5,0.3057835102081299,0.30837389826774597,0.2827358543872833,0.32537537813186646,0.44431999921798704,0.7613800168037415,0.8458399891853332,0.4761799991130829,0.7503400087356568,0.8183599948883057,mc2_e32
mc2_e32,cgoe,vi,199562,10000,5,0.3040655255317688,0.3056458830833435,0.2845993638038635,0.32161620259284973,0.7114599943161011,0.9238999962806702,0.9564200043678284,0.7362399935722351,0.9161399960517883,0.9474599957466125,mc2_e32
mc2_e32,wit,id,146744,10000,5,0.30856218934059143,0.31013041734695435,0.2930171489715576,0.3225136995315552,0.6509000062942505,0.9278400063514709,0.9632599949836731,0.7309000015258789,0.9311800003051758,0.9599600076675415,mc2_e32
mc2_e32,wit,jv,11926,10000,5,0.3109400272369385,0.3124402165412903,0.29638296365737915,0.3237166404724121,0.5767400026321411,0.9099799871444703,0.9507799983024597,0.7126399993896484,0.912279999256134,0.9455399870872497,mc2_e32
mc2_e32,wit,ms,59504,10000,5,0.3088342249393463,0.31040117144584656,0.2936880886554718,0.32260215282440186,0.6403799891471863,0.9276399970054626,0.9635200023651123,0.7210400104522705,0.9279399991035462,0.9598999977111816,mc2_e32
mc2_e32,wit,my,9941,9941,1,0.3068641424179077,0.3085039556026459,0.29019805788993835,0.32163718342781067,0.3108339309692383,0.63283371925354,0.781108558177948,0.5622170567512512,0.8171210289001465,0.8781812787055969,mc2_e32
mc2_e32,wit,th,55594,10000,5,0.3087365925312042,0.31020939350128174,0.292523056268692,0.32324790954589844,0.5166999936103821,0.8741400122642518,0.9447000026702881,0.6389200091362,0.8942000031471252,0.9425599813461304,mc2_e32
mc2_e32,wit,vi,203979,10000,5,0.307693749666214,0.30961012840270996,0.29094094038009644,0.322424978017807,0.5778800129890442,0.8892399907112122,0.9387200117111206,0.6826000094413758,0.8941200017929077,0.9330199956893921,mc2_e32
mc2_e8,bloom,ceb,2951,2951,1,0.2829430103302002,0.2867562770843506,0.2580912709236145,0.30183616280555725,0.005760759115219116,0.021687563508749008,0.035581160336732864,0.0010166045976802707,0.008810572326183319,0.01694340817630291,mc2_e8
mc2_e8,bloom,fil,558,558,1,0.2845139503479004,0.2895660996437073,0.2535127103328705,0.3087795078754425,0.04121863842010498,0.10035842657089233,0.14516128599643707,0.023297490552067757,0.07347670197486877,0.10573476552963257,mc2_e8
mc2_e8,bloom,id,2169,2169,1,0.29128602147102356,0.2944291830062866,0.2630695104598999,0.31460458040237427,0.01244813296943903,0.045182112604379654,0.07100046426057816,0.005993545521050692,0.020285846665501595,0.04149377718567848,mc2_e8
mc2_e8,bloom,km,308,308,1,0.31791844964027405,0.3221139907836914,0.2941138744354248,0.3362467288970947,0.006493506487458944,0.03896103799343109,0.08441558480262756,0.006493506487458944,0.02922077849507332,0.055194806307554245,mc2_e8
mc2_e8,bloom,ms,102,102,1,0.28482910990715027,0.2866583466529846,0.24850231409072876,0.31516075134277344,0.09803921729326248,0.30392158031463623,0.5098039507865906,0.03921568766236305,0.2549019753932953,0.4215686321258545,mc2_e8
mc2_e8,bloom,my,419,419,1,0.28871041536331177,0.2892288863658905,0.259715735912323,0.31794559955596924,0.00954653974622488,0.028639618307352066,0.05011933296918869,0.00238663493655622,0.021479712799191475,0.03818615898489952,mc2_e8
mc2_e8,bloom,th,3009,3009,1,0.30994361639022827,0.31534671783447266,0.27345454692840576,0.3380785882472992,0.0009970089886337519,0.0076437355019152164,0.01296111661940813,0.00033233631984330714,0.0023263543844223022,0.004985044710338116,mc2_e8
mc2_e8,bloom,vi,22,22,1,0.27160966396331787,0.26575133204460144,0.25077390670776367,0.3030526340007782,0.04545454680919647,0.22727273404598236,0.5,0.04545454680919647,0.3636363744735718,0.5454545617103577,mc2_e8
mc2_e8,cgoe,id,223098,10000,5,0.2623143196105957,0.26320880651474,0.21897242963314056,0.30448970198631287,0.07199999988079071,0.17327999770641328,0.23941999971866607,0.057760000228881836,0.14379999935626983,0.19932000041007997,mc2_e8
mc2_e8,cgoe,jv,39747,10000,5,0.27509093284606934,0.2777771055698395,0.22855444252490997,0.3167749047279358,0.06756000220775604,0.17080000042915344,0.23763999938964844,0.07066000103950501,0.1730800002813339,0.23235999941825866,mc2_e8
mc2_e8,cgoe,ms,161397,10000,5,0.25436243414878845,0.2520110607147217,0.21248282492160797,0.3006027042865753,0.07624000161886216,0.17316000163555145,0.23314000070095062,0.05527999997138977,0.13632000088691712,0.19057999849319457,mc2_e8
mc2_e8,cgoe,su,21238,10000,5,0.28140655159950256,0.2847098708152771,0.2375013381242752,0.31952717900276184,0.09179999828338622,0.22793999910354615,0.3056599974632263,0.07046000212430954,0.17601999938488005,0.23792000114917755,mc2_e8
mc2_e8,cgoe,th,58433,10000,5,0.25104108452796936,0.24917075037956238,0.2142619639635086,0.29099562764167786,0.009139999747276306,0.03346000090241432,0.05644000023603439,0.008079999871551991,0.027239999547600747,0.045520000904798505,mc2_e8
mc2_e8,cgoe,vi,199562,10000,5,0.2532465159893036,0.2519116997718811,0.21273404359817505,0.29703792929649353,0.05490000024437904,0.1331399992108345,0.18263999819755555,0.045740000903606415,0.10676000118255616,0.15070000290870667,mc2_e8
mc2_e8,wit,id,146744,10000,5,0.2865678369998932,0.2893078327178955,0.24586798250675201,0.3229440748691559,0.08822000026702881,0.23928000032901764,0.3411400020122528,0.08946000039577484,0.2458999991416931,0.34338000416755676,mc2_e8
mc2_e8,wit,jv,11926,10000,5,0.2876506447792053,0.2908894121646881,0.2457079440355301,0.32413867115974426,0.0801800012588501,0.21836000084877014,0.31597999930381776,0.09159999936819077,0.22799999713897706,0.3147999942302704,mc2_e8
mc2_e8,wit,ms,59504,10000,5,0.28733694553375244,0.2902873754501343,0.24640150368213654,0.3236806392669678,0.08467999994754791,0.24208000004291536,0.34546000361442564,0.09029999971389771,0.24853999316692352,0.3484599947929382,mc2_e8
mc2_e8,wit,my,9941,9941,1,0.25597962737083435,0.24426445364952087,0.21636052429676056,0.31599417328834534,0.048586662858724594,0.10220299661159515,0.1336887627840042,0.030781611800193787,0.07484156638383865,0.1045166477560997,mc2_e8
mc2_e8,wit,th,55594,10000,5,0.27024906873703003,0.2706282436847687,0.22763094305992126,0.31167715787887573,0.03709999993443489,0.1097800001502037,0.16646000146865844,0.03037999980151653,0.09855999946594238,0.15178000032901764,mc2_e8
mc2_e8,wit,vi,203979,10000,5,0.28393736481666565,0.28672105073928833,0.24259455502033234,0.320839524269104,0.07166000008583069,0.19979999959468842,0.2858199954032898,0.07390000075101852,0.20770000219345092,0.2929199993610382,mc2_e8
mc2bloom_e16,bloom,fil,558,558,1,0.2811903655529022,0.27551794052124023,0.25116297602653503,0.3123307228088379,0.001792114693671465,0.01433691754937172,0.025089606642723083,0.00358422938734293,0.0197132620960474,0.03405017778277397,mc2bloom_e16
mc2bloom_e16,bloom,id,2169,2169,1,0.2797982394695282,0.27627021074295044,0.25303441286087036,0.30721521377563477,0.00046104195644147694,0.0027662517968565226,0.005071461666375399,0.0009220839128829539,0.003227293724194169,0.007376671303063631,mc2bloom_e16
mc2bloom_e16,bloom,km,308,308,1,0.3244365453720093,0.3283649981021881,0.2777418792247772,0.36266887187957764,0.006493506487458944,0.025974025949835777,0.04545454680919647,0.003246753243729472,0.025974025949835777,0.03896103799343109,mc2bloom_e16
mc2bloom_e16,bloom,ms,102,102,1,0.29914093017578125,0.2960768938064575,0.270814448595047,0.32971951365470886,0.009803921915590763,0.05882352963089943,0.09803921729326248,0.009803921915590763,0.09803921729326248,0.11764705926179886,mc2bloom_e16
mc2bloom_e16,bloom,my,419,419,1,0.3541249632835388,0.357541561126709,0.294227659702301,0.4048600494861603,0.00238663493655622,0.01193317398428917,0.02386634796857834,0.0071599045768380165,0.02386634796857834,0.026252983137965202,mc2bloom_e16
mc2bloom_e16,bloom,th,3009,3009,1,0.36331525444984436,0.36593419313430786,0.3228696584701538,0.39960411190986633,0.00033233631984330714,0.0016616815701127052,0.0029910269659012556,0.00033233631984330714,0.0016616815701127052,0.003655699547380209,mc2bloom_e16
mc2bloom_e16,bloom,vi,22,22,1,0.33855587244033813,0.33258581161499023,0.27516311407089233,0.4110431969165802,0.04545454680919647,0.22727273404598236,0.4545454680919647,0.04545454680919647,0.13636364042758942,0.5,mc2bloom_e16
mc2bloom_e16,cgoe,id,223098,10000,5,0.2843784689903259,0.2850024104118347,0.25004130601882935,0.3182792663574219,0.00013999999646330252,0.0005200000246986747,0.0009400000097230076,5.999999848427251e-05,0.00042000000539701434,0.0009800000116229057,mc2bloom_e16
mc2bloom_e16,cgoe,jv,39747,10000,5,0.2842879295349121,0.2847983241081238,0.24607674777507782,0.32099634408950806,0.00011999999696854502,0.0005800000100862235,0.001020000025164336,0.00013999999646330252,0.0005200000188779086,0.0008800000185146927,mc2bloom_e16
mc2bloom_e16,cgoe,ms,161397,10000,5,0.28233158588409424,0.28335869312286377,0.25075286626815796,0.3128751218318939,9.999999747378752e-05,0.0005600000033155084,0.0010600000037811696,9.999999747378752e-05,0.0005800000159069896,0.001060000015422702,mc2bloom_e16
mc2bloom_e16,cgoe,su,21238,10000,5,0.27586308121681213,0.2782457768917084,0.2371843308210373,0.3106785714626312,9.999999747378752e-05,0.00036000001418869945,0.0007799999904818833,9.999999747378752e-05,0.0005000000179279596,0.0008399999816901982,mc2bloom_e16
mc2bloom_e16,cgoe,th,58433,10000,5,0.2991738021373749,0.3034452497959137,0.23673151433467865,0.3519020080566406,0.00011999999696854502,0.0004400000150781125,0.0011000000173225998,5.999999848427251e-05,0.0005000000121071935,0.0010400000028312206,mc2bloom_e16
mc2bloom_e16,cgoe,vi,199562,10000,5,0.31977880001068115,0.31565994024276733,0.2674877345561981,0.37816765904426575,0.00011999999696854502,0.0006400000012945384,0.0011799999978393317,0.00012000000133411959,0.0005399999907240271,0.0010400000028312206,mc2bloom_e16
